date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,isST
2018-06-07,sh.601318,63.2700,64.5400,63.0200,63.2400,62.6100,74626679,4763077383.0000,3,0.688904,1,1.006231,0
2018-06-08,sh.601318,62.9700,63.2400,61.9500,62.3900,63.2400,57939137,3617103478.0000,3,0.534856,1,-1.344090,0
2018-06-11,sh.601318,62.2500,63.2000,61.8500,63.0300,62.3900,51280313,3204236377.0000,3,0.473386,1,1.025804,0
2018-06-12,sh.601318,63.2000,64.2500,62.8200,63.9000,63.0300,76355925,4866437060.0000,3,0.704867,1,1.380299,0
2018-06-13,sh.601318,63.8000,63.9100,63.3500,63.7500,63.9000,45905326,2922589416.0000,3,0.423768,1,-0.234744,0
2018-06-14,sh.601318,63.5800,65.3500,63.4500,64.4400,63.7500,79848471,5164445267.0000,3,0.737108,1,1.082357,0
2018-06-15,sh.601318,64.1000,65.1600,64.0200,64.6300,64.4400,66658272,4315505697.0000,3,0.615345,1,0.294840,0
2018-06-19,sh.601318,63.8000,64.2000,61.8000,62.0900,64.6300,127826360,8087342652.0000,3,1.180008,1,-3.930059,0
2018-06-20,sh.601318,61.9000,62.5400,60.7800,61.8500,62.0900,74319522,4589333023.0000,3,0.686069,1,-0.386538,0
2018-06-21,sh.601318,61.8600,62.5600,61.0000,61.0900,61.8500,60549396,3743256874.0000,3,0.558952,1,-1.228777,0
2018-06-22,sh.601318,60.6000,61.5000,60.6000,61.0700,61.0900,46537639,2837582693.0000,3,0.429605,1,-0.032739,0
2018-06-25,sh.601318,61.2800,61.3500,59.6000,59.7900,61.0700,60749672,3673033330.0000,3,0.560801,1,-2.095953,0
2018-06-26,sh.601318,59.1000,59.6100,57.8000,59.2400,59.7900,71792764,4222114929.0000,3,0.662743,1,-0.919885,0
2018-06-27,sh.601318,59.1000,59.4500,57.4400,57.5000,59.2400,69708410,4051818403.0000,3,0.643502,1,-2.937207,0
2018-06-28,sh.601318,57.1100,57.9500,56.5300,56.8300,57.5000,73599124,4196752214.0000,3,0.679418,1,-1.165214,0
2018-06-29,sh.601318,57.1200,58.6300,57.1000,58.5800,56.8300,64511204,3729377800.0000,3,0.595525,1,3.079360,0
2018-07-02,sh.601318,58.2800,58.2800,54.6500,55.2200,58.5800,90018916,5082587156.0000,3,0.830995,1,-5.735747,0
2018-07-03,sh.601318,55.6000,56.5600,54.3300,56.3400,55.2200,94916701,5276896813.0000,3,0.876208,1,2.028249,0
2018-07-04,sh.601318,56.2300,56.8800,55.3700,55.5200,56.3400,51949368,2909529851.0000,3,0.479562,1,-1.455449,0
2018-07-05,sh.601318,55.7000,56.2700,55.1800,55.5300,55.5200,54843432,3054478672.0000,3,0.506278,1,0.018009,0
2018-07-06,sh.601318,55.9800,57.6500,55.5400,56.9400,55.5300,82431119,4674671786.0000,3,0.760950,1,2.539168,0
2018-07-09,sh.601318,57.6000,58.9100,57.2000,58.8800,56.9400,69604304,4054246964.0000,3,0.642541,1,3.407099,0
2018-07-10,sh.601318,59.0000,59.0500,57.5500,58.1800,58.8800,55562743,3233279752.0000,3,0.512919,1,-1.188860,0
2018-07-11,sh.601318,56.7500,57.5100,56.5600,57.0900,58.1800,47378185,2701645194.0000,3,0.437364,1,-1.873496,0
2018-07-12,sh.601318,57.2400,58.8900,57.2400,58.3800,57.0900,64770763,3777942008.0000,3,0.597921,1,2.259592,0
2018-07-13,sh.601318,58.7700,58.9200,58.2800,58.5400,58.3800,39378546,2307228865.0000,3,0.363517,1,0.274066,0
2018-07-16,sh.601318,58.3000,58.7800,57.3800,57.7200,58.5400,43194208,2494024299.0000,3,0.398740,1,-1.400751,0
2018-07-17,sh.601318,57.9000,58.2600,57.4200,58.0200,57.7200,37994302,2195501138.0000,3,0.350738,1,0.519749,0
2018-07-18,sh.601318,58.2800,59.1100,57.7500,57.8100,58.0200,46448505,2717273919.0000,3,0.428782,1,-0.361943,0
2018-07-19,sh.601318,58.3600,59.3000,58.3500,58.7100,57.8100,70369903,4143173505.0000,3,0.649608,1,1.556820,0
